method,top1_accuracy,margin_median,margin_mean,n_runs,n_unknown_points,n_possible_combinations,requested_sampling_iterations,used_sampling_iterations,sampling_mode,sample_size,scenario,model_type,output_dir
mahalanobis_distance,1.0,12.086526882024463,11.997404418050568,5000,20,77520,5000,5000,random_unique,7,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0119047619047619,0.0114442857142857,5000,20,77520,5000,5000,random_unique,7,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.265758755741756,2.258193256567817,5000,20,125970,5000,5000,random_unique,8,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.5483702435412661,0.5477844018123619,5000,20,125970,5000,5000,random_unique,8,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.108739124960325,12.035913848486118,5000,20,125970,5000,5000,random_unique,8,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0114583333333333,0.011425625,5000,20,125970,5000,5000,random_unique,8,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.271598475676577,2.264093491554437,5000,20,167960,5000,5000,random_unique,9,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.560086131721236,0.5592004473217136,5000,20,167960,5000,5000,random_unique,9,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.129488163526144,12.062214696200869,5000,20,167960,5000,5000,random_unique,9,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.012037037037037,0.0115388888888888,5000,20,167960,5000,5000,random_unique,9,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.274266909876091,2.2679276032439075,5000,20,184756,5000,5000,random_unique,10,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.5712172661390442,0.5699936758879234,5000,20,184756,5000,5000,random_unique,10,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.143700877025836,12.085785104367275,5000,20,184756,5000,5000,random_unique,10,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0116666666666666,0.0114863333333333,5000,20,184756,5000,5000,random_unique,10,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.2787673657787133,2.272649351937734,5000,20,167960,5000,5000,random_unique,11,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.5852728566248568,0.5842598454159079,5000,20,167960,5000,5000,random_unique,11,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.161310328229357,12.11104327032189,5000,20,167960,5000,5000,random_unique,11,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0121212121212121,0.0116692424242424,5000,20,167960,5000,5000,random_unique,11,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.2820809769557755,2.276462722594783,5000,20,125970,5000,5000,random_unique,12,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
